atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
1928755808,1168011300,A02,A1,7/10,77000,157,74,남향,37.473765,127.107157,전세낀 매물 수서역세권 탁틔인조망 교통굿,"['4년이내', '화장실두개', '대형평수']",스마일공인중개사사무소
1928754062,1168011300,A02,A1,10/10,82000,157,74,남향,37.473765,127.107157,세안고 매매 전망좋은 남향 수서역세권,"['4년이내', '화장실두개', '대형평수']",스마일공인중개사사무소
1928737162,1168010800,A02,A1,5/15,75000,154,87,,37.509535,127.040487,인테리어 잘된 역세권 오피스텔,"['15년이내', '역세권', '대형평수', '방세개']",조이공인중개사사무소
1928730707,1168010100,C02,A1,3/6,82000,159,110,남향,37.496159,127.041976,역삼동 평수넓고 구조잘빠진 올리모델링된 아파트형 4룸매매,"['화장실두개', '대형평수', '방네개이상']",더(THE)큰공인중개사사무소
1928725432,1168010100,C02,A1,3/6,49500,194,194,,37.494969,127.035184,강남역삼역 사이 최고입지조건 분양호실 나왔습니다 둘러보러오세요,"['대형평수', '방두개', '화장실한개']",정석부동산중개
1928723641,1168010300,C02,A1,4/4,90000,162,117,,37.476716,127.050313,,"['대형평수', '탑층', '방네개이상']",로웰공인중개사사무소
1928685439,1168010100,A01,A1,3/7,100000,151,103,,37.50153,127.034505,＃역삼역 초인접 아파트 매매＃,"['25년이내', '역세권', '대형평수', '방네개이상']",대박공인중개사사무소
1928677711,1168011100,E03,A1,-,34770,862,0,,37.463065,127.099902,아파트 단지 초인접,[],가락공인중개사
1928658094,1168010100,D01,A1,2/4,80000,158,135,,37.499431,127.043905,역삼역 대로변 상가빌딩 매매,"['25년이상', '총4층']",드림부동산공인중개사
1928648577,1168011200,E03,A1,-,90000,992,0,,37.479859,127.101772,수서역 가까운 전 매매,[],스마트공인중개사사무소
1928552325,1168010100,A01,A1,6/7,93000,171,150,,37.49425,127.038941,별도세대 월100만 수익 초급매 복층형 전용 45p 대지 17p,"['25년이내', '복층', '급매']",(주)중앙부동산중개법인
1928541207,1168010800,C02,A1,3/3,84000,141,84,,37.508562,127.030522,대지지분 많은 빌라4룸 ,"['역세권', '화장실두개', '대형평수', '탑층']",국가대표공인
1928539855,1168010400,D02,A1,3/10,75000,219,113,,37.526434,127.049678,청담동 고급빌라 인근 상가 매매,"['주차가능', '엘리베이터', 'CCTV']",청담동심차장부동산중개
1928513523,1168010700,D02,A1,-1/3,66000,143,75,,37.527398,127.030976,"3호선압구정역도보3분.임대수입양호,출입구앞코너","['25년이내', '역세권', '주차가능', '총3층']",석사공인중개사사무소
1928440994,1168010800,C02,A1,1/4,75000,148,89,,37.512966,127.036182,3종 임패리얼팰리스호텔 뒷편 고급빌라촌,"['역세권', '1층', '대형평수']",월드부동산중개
1928440423,1168010100,C02,A1,4/7,90000,139,122,,37.494189,127.038805,내부깔끔한 구조의 포룸 매매,"['대형평수', '방네개이상', '화장실두개']",월드부동산중개
1928421564,1168010100,C02,A1,3/7,100000,151,103,,37.501524,127.034542,역삼역 도보2분거리 올수리된 귀한 4룸 아파트,"['올수리', '역세권', '대형평수']",히든공인중개사사무소
1928418382,1168010700,C02,A1,1/8,90000,134,84,,37.521524,127.029262,압구정역 역세권에 관리 잘된 실거주 및 갭투자 가능한 귀한 아파트,"['1층', '대형평수', '방세개', '화장실두개']",히든공인중개사사무소
1928411821,1168010100,C02,A1,2/5,89000,168,108,,37.495199,127.040925,역삼역 역세권에 관리잘되고 사이즈 잘나온 4룸 아파트,"['대형평수', '방네개이상', '화장실두개', '주차가능']",히든공인중개사사무소
1928352947,1168011500,D01,A1,14/20,45000,158,79,,37.487327,127.103144,"SRT, 수서역과 건물지하가 연결된 저렴한 가격의 사무실입니다.","['역세권', '엘리베이터', '화재경보기']",남서울공인중개사
1928278795,1168010100,A01,A1,4/7,90000,139,122,,37.49425,127.038941,실입주가능 정남향 대지지분크고 사이즈넓은방4,"['25년이내', '대형평수', '방네개이상', '화장실두개']",한마음공인중개사사무소
1928261267,1168010100,A02,A1,16/20,93000,213,111,남향,37.508679,127.039412,sk리더스뷰 고층 전망좋은 매물 입니다. ,"['15년이내', '역세권', '대형평수', '방세개']",리더스공인중개사무소
1928279536,1168011500,D01,A1,6/20,40000,159,79,동향,37.486772,127.103178,수서역 초역세권의 최저가 사무실입니다.,"['역세권', '엘리베이터', '화재경보기', '동향']",남서울공인중개사
1928166128,1168011500,A02,A1,16/20,60000,171,85,남향,37.488077,127.101892,"SRT,수서역이 건물 지하로 연결, 룸2, 주차가 좋습니다. 대모산전망","['25년이내', '역세권', '대형평수']",남서울공인중개사
1928826279,1168010100,A02,A1,중/20,80000,149,78,남향,37.508679,127.039412,"실매물, 중층, 임대중, 내부상태깨끗, 구조좋은 투룸, 주차2대 편리","['15년이내', '역세권', '대형평수', '화장실두개']",디애플공인
1928810640,1168010500,D01,A1,3/19,70000,165,109,,37.512326,127.051855,삼성중앙역 출구앞 전면 대로변 최고 광고효과 구분건물매매,['역세권'],원공인중개사사무소
1928057464,1168011300,E03,A1,-,60000,654,0,,37.466854,127.116352,저렴한 토지,[],주식회사 대박부동산중개법인
1928761265,1168011800,D02,A1,3/3,95000,198,80,,37.485146,127.035767,양재역세권 전문상가 현 병원 임대중,"['역세권', '엘리베이터', '총3층']",삼성공인중개사사무소
1928753683,1168011300,A02,A1,중/10,71000,153,74,남향,37.474159,127.107065,"자곡동 사거리,새로운 주거개념 아파텔, 전세가같은 가격, 즉시입주","['4년이내', '대형평수', '방세개', '화장실두개']",래미안루체하임스타공인중개사
1928750947,1168010600,D02,A1,-1/3,100000,247,136,,37.500835,127.060988,"현 슈퍼마켓, 매출실적 자료 제공 가능","['25년이내', '총3층']",부동산114제일공인
1928041906,1168010100,D01,A1,2/10,79500,191,99,,37.503261,127.040108,"사진O, 전용 30P, 실가격, 임대수익률 좋은 상가 사무실","['역세권', '주차가능']",한신부동산
1927966199,1168010100,D02,A1,2/5,81000,211,94,,37.499225,127.048457,안정적수익형 상가 주변인프라 최상급 직영 또는 수익형모두가능,"['25년이내', '주차가능', '총5층']",로웰공인중개사사무소
1927953218,1168011300,E03,A1,-,54000,588,0,,37.470757,127.115427,투자용도 추천합니다.,[],형제공인중개사
